Generating 232 rejected responses from 72b (~/models/Qwen2.5-72B-Instruct-HF-mlx/)
Output: /Users/barakwater/Downloads/Claude Memory/lora_training_data/dpo/rejected_72b.jsonl

  [1/232] Generating... done (9s, 30 words)
  [126/232] Generating... done (19s, 98 words)
  [127/232] Generating... done (53s, 316 words)
  [128/232] Generating... done (58s, 332 words)
  [129/232] Generating... done (51s, 306 words)
  [130/232] Generating... done (41s, 264 words)
  [131/232] Generating... done (54s, 338 words)
  [132/232] Generating... done (17s, 86 words)
  [133/232] Generating... done (48s, 318 words)
  [134/232] Generating... done (14s, 68 words)
  [135/232] Generating... done (12s, 56 words)
  [136/232] Generating... done (11s, 46 words)
  [137/232] Generating... done (29s, 190 words)
  [138/232] Generating... done (53s, 327 words)
  [139/232] Generating... done (30s, 187 words)
  [140/232] Generating... done (24s, 143 words)
  [141/232] Generating... done (22s, 109 words)
  [142/232] Generating... done (35s, 196 words)
  [143/232] Generating... done (9s, 41 words)
  [144/232] Generating... done (17s, 87 words)
  [145/232] Generating... done (17s, 88 words)
  [146/232] Generating... done (48s, 335 words)
  [147/232] Generating... done (50s, 292 words)
  [148/232] Generating... done (39s, 224 words)
  [149/232] Generating... done (45s, 250 words)
  [150/232] Generating... done (21s, 130 words)
  [151/232] Generating... done (49s, 312 words)
  [152/232] Generating... done (15s, 71 words)
  [153/232] Generating... done (38s, 213 words)
  [154/232] Generating... done (12s, 52 words)
  [155/232] Generating... done (50s, 303 words)
  [156/232] Generating... done (47s, 308 words)
  [157/232] Generating... done (37s, 237 words)
  [158/232] Generating... done (21s, 114 words)
  [159/232] Generating... done (16s, 79 words)
  [160/232] Generating... done (23s, 134 words)
  [161/232] Generating... done (22s, 124 words)
  [162/232] Generating... done (25s, 144 words)
  [163/232] Generating... done (48s, 241 words)
  [164/232] Generating... done (53s, 311 words)
  [165/232] Generating... done (21s, 110 words)
  [166/232] Generating... done (38s, 263 words)
  [167/232] Generating... done (18s, 97 words)
  [168/232] Generating... done (18s, 85 words)
  [169/232] Generating... done (26s, 154 words)
  [170/232] Generating... done (27s, 151 words)
  [171/232] Generating... done (37s, 220 words)
  [172/232] Generating... done (9s, 30 words)
  [173/232] Generating... done (31s, 186 words)
  [174/232] Generating... done (37s, 222 words)
  [175/232] Generating... done (29s, 153 words)
  [176/232] Generating... done (31s, 174 words)
  [177/232] Generating... done (20s, 105 words)
  [178/232] Generating... done (22s, 121 words)
  [179/232] Generating... done (27s, 153 words)
  [180/232] Generating... done (24s, 142 words)
  [181/232] Generating... done (13s, 69 words)
  [182/232] Generating... done (20s, 116 words)
  [183/232] Generating... done (9s, 36 words)
  [184/232] Generating... done (10s, 37 words)
  [185/232] Generating... done (8s, 27 words)
  [186/232] Generating... done (9s, 38 words)
  [187/232] Generating... done (13s, 66 words)
  [188/232] Generating... done (25s, 168 words)
  [189/232] Generating... done (9s, 40 words)
  [190/232] Generating... done (18s, 100 words)
  [191/232] Generating... done (14s, 67 words)
  [192/232] Generating... done (8s, 26 words)
  [193/232] Generating... done (32s, 187 words)
  [194/232] Generating... done (16s, 80 words)
  [195/232] Generating... done (29s, 175 words)
  [196/232] Generating... done (44s, 275 words)
  [197/232] Generating... done (17s, 90 words)
  [198/232] Generating... done (54s, 302 words)
  [199/232] Generating... done (55s, 310 words)
  [200/232] Generating... done (10s, 43 words)
  [201/232] Generating... done (38s, 252 words)
  [202/232] Generating... done (19s, 114 words)
  [203/232] Generating... done (12s, 55 words)
  [204/232] Generating... done (17s, 92 words)
  [205/232] Generating... done (21s, 123 words)
  [206/232] Generating... done (29s, 183 words)
  [207/232] Generating... done (26s, 159 words)
  [208/232] Generating... done (30s, 186 words)
  [209/232] Generating... done (43s, 279 words)
  [210/232] Generating... done (47s, 303 words)
  [211/232] Generating... done (30s, 186 words)
  [212/232] Generating... done (13s, 60 words)
  [213/232] Generating... done (15s, 77 words)
  [214/232] Generating... done (33s, 211 words)
  [215/232] Generating... done (27s, 168 words)
  [216/232] Generating... done (11s, 51 words)
  [217/232] Generating... done (27s, 172 words)
  [218/232] Generating... done (10s, 44 words)
  [219/232] Generating... done (8s, 27 words)
  [220/232] Generating... done (15s, 75 words)
  [221/232] Generating... done (15s, 74 words)
  [222/232] Generating... done (14s, 64 words)
  [223/232] Generating... done (8s, 22 words)
  [224/232] Generating... done (14s, 71 words)
  [225/232] Generating... done (11s, 43 words)
  [226/232] Generating... done (38s, 247 words)
  [227/232] Generating... done (13s, 62 words)
  [228/232] Generating... done (17s, 93 words)
  [229/232] Generating... done (7s, 18 words)
  [230/232] Generating... done (18s, 98 words)
  [231/232] Generating... done (15s, 77 words)
  [232/232] Generating... done (7s, 12 words)

Done. /Users/barakwater/Downloads/Claude Memory/lora_training_data/dpo/rejected_72b.jsonl ready for format_dpo_pairs.py
